,city_development_index,experience,last_new_job,training_hours,target,gender_Male,gender_Other,relevent_experience_No relevent experience,enrolled_university_Part time course,enrolled_university_no_enrollment,education_level_Phd,education_level_Undergraduate,cdi_bucket_medium_human_development,cdi_bucket_high_human_development,cdi_bucket_very_high_human_development,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Startup Company,company_type_Unknown,major_STEM
2719,0.743,21,5,18,0.0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
2720,0.92,1,1,48,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2721,0.91,20,2,42,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2722,0.91,4,1,113,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2723,0.698,5,0,12,1.0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
2724,0.92,16,1,22,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2730,0.624,7,5,48,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2732,0.91,12,1,3,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
2737,0.923,10,5,17,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
2738,0.926,6,0,31,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2739,0.893,15,1,38,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2740,0.895,12,1,94,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2742,0.624,6,2,55,0.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2743,0.804,4,0,54,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2745,0.624,6,1,10,0.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2746,0.926,9,4,111,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2747,0.624,5,1,16,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2749,0.804,15,4,50,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2750,0.804,17,5,15,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2752,0.92,9,1,20,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2754,0.754,5,3,49,0.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
2756,0.624,0,1,10,1.0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
2757,0.884,21,5,98,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
2758,0.92,1,1,25,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2759,0.939,14,1,34,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2760,0.92,21,5,36,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2762,0.926,21,1,2,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
2763,0.92,6,2,84,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2764,0.92,13,1,15,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2765,0.83,11,1,15,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2766,0.92,21,5,113,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2773,0.899,4,2,10,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2774,0.92,5,5,52,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2775,0.92,21,1,46,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2777,0.624,8,1,28,0.0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
2779,0.92,21,5,212,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2780,0.698,7,3,14,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2784,0.624,6,0,31,0.0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
2785,0.698,8,1,66,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
2786,0.78,6,5,20,0.0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
2788,0.92,9,5,308,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
2789,0.8270000000000001,18,5,26,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2790,0.91,20,1,19,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
2791,0.762,17,2,17,1.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
2792,0.884,7,0,20,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
2793,0.92,0,1,44,1.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
2794,0.794,9,2,212,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2795,0.55,5,1,87,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
2796,0.764,4,2,12,0.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
2797,0.92,3,0,13,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2798,0.887,21,5,102,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2799,0.92,6,1,30,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2802,0.926,19,3,24,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2803,0.925,6,3,10,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2804,0.92,15,5,40,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2805,0.939,13,5,116,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2807,0.923,21,5,166,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
2808,0.887,21,5,152,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2809,0.926,4,0,10,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2810,0.91,21,5,83,0.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
2812,0.527,5,1,17,1.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
2813,0.804,11,5,41,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2815,0.794,2,2,46,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
2816,0.924,13,1,131,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2817,0.698,7,1,55,0.0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
2818,0.91,11,2,12,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2819,0.767,15,3,84,0.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
2820,0.91,21,5,94,0.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
2823,0.92,21,1,124,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
2824,0.843,21,5,68,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2825,0.92,18,1,22,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2826,0.92,5,2,54,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2827,0.91,21,1,12,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2828,0.887,21,1,23,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2829,0.855,14,1,15,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2830,0.92,21,2,32,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
2832,0.887,10,0,10,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2834,0.92,21,5,46,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
2837,0.789,21,1,4,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
2838,0.939,10,1,2,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2840,0.939,6,1,26,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2841,0.92,21,4,88,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2842,0.913,21,5,20,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2843,0.836,21,5,83,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
2845,0.92,14,0,40,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
2846,0.91,21,5,37,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2848,0.926,0,1,49,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
2850,0.92,10,1,72,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2851,0.925,1,1,102,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2853,0.899,4,2,52,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2854,0.884,21,5,99,0.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2857,0.899,16,3,9,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2860,0.92,21,5,77,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
2861,0.92,21,5,63,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
2862,0.92,21,5,262,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2863,0.743,7,1,17,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
2865,0.926,21,1,20,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2866,0.804,21,4,78,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2868,0.92,21,5,55,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2870,0.754,11,3,88,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
2871,0.836,6,1,73,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2872,0.92,0,1,31,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2873,0.91,3,5,2,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2874,0.921,3,1,76,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2875,0.698,8,4,8,1.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2876,0.624,3,2,25,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
2877,0.804,10,2,24,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2881,0.6659999999999999,9,1,78,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
2882,0.55,5,2,90,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
2883,0.92,21,3,34,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
2886,0.899,20,5,10,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2887,0.926,5,1,9,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2889,0.691,21,5,45,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2890,0.897,17,5,126,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2891,0.92,21,1,22,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2892,0.926,13,4,90,1.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2896,0.923,4,1,206,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2897,0.682,8,2,28,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
2898,0.949,21,3,22,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
2900,0.924,21,1,65,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2901,0.92,19,1,21,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2902,0.926,21,5,4,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
2904,0.91,15,5,58,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
2907,0.624,5,1,68,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
2908,0.624,6,1,70,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
2909,0.92,21,5,77,0.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
2910,0.92,7,2,2,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2915,0.727,19,2,83,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
2917,0.898,21,1,31,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2918,0.895,18,5,82,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2919,0.802,19,5,87,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2920,0.92,21,1,220,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2923,0.92,7,1,103,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
2924,0.92,16,1,28,0.0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
2926,0.92,5,1,184,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2927,0.92,5,1,21,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2929,0.949,21,2,14,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2930,0.92,21,5,74,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
2932,0.92,16,2,3,1.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2933,0.91,5,2,86,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
2934,0.74,4,2,292,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
2936,0.698,5,1,31,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2937,0.92,15,5,174,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2939,0.763,2,2,25,0.0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1
2940,0.762,21,2,70,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
2941,0.91,8,3,17,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2942,0.682,21,1,103,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2943,0.92,18,4,109,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2944,0.64,18,5,48,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2945,0.92,11,1,26,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2947,0.92,21,5,22,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2948,0.91,2,0,57,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2949,0.92,4,2,62,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2950,0.92,3,1,109,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2951,0.855,21,2,89,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2953,0.91,16,1,53,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2954,0.926,21,5,114,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2955,0.624,1,0,21,1.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2956,0.92,11,5,52,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2957,0.92,21,1,216,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2962,0.92,15,2,55,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2963,0.878,3,3,112,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
2965,0.855,10,1,28,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2967,0.579,7,2,5,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2968,0.92,9,1,70,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2971,0.926,21,1,164,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2972,0.884,12,1,77,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
2975,0.887,14,1,18,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
2976,0.92,11,2,13,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
2977,0.92,21,5,24,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2979,0.7659999999999999,5,5,19,1.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
2982,0.92,21,5,18,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
2983,0.884,15,1,6,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
2985,0.92,10,1,40,1.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2987,0.939,12,5,83,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
2988,0.804,21,5,27,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2990,0.624,3,1,47,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2991,0.8959999999999999,7,1,54,0.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2992,0.899,21,2,26,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2994,0.6890000000000001,10,1,206,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
2996,0.855,16,3,168,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2997,0.897,10,1,48,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2999,0.855,16,1,54,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
3000,0.897,12,2,59,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3001,0.92,21,5,32,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
3002,0.92,4,1,9,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3004,0.92,14,2,52,1.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
3006,0.92,21,2,136,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
3007,0.802,1,0,29,1.0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1
3011,0.624,4,3,7,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
3012,0.91,11,1,33,0.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3013,0.91,12,1,44,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3015,0.847,2,0,7,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
3016,0.895,21,5,30,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3017,0.91,15,3,125,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3018,0.92,21,5,30,0.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
3019,0.92,11,4,82,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
3021,0.926,7,2,15,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
3022,0.924,12,1,84,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3023,0.92,4,3,52,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3024,0.92,3,2,28,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
3025,0.738,11,1,53,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3026,0.884,18,5,18,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
3027,0.92,4,2,6,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
3028,0.743,13,1,18,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3029,0.624,3,1,158,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
3031,0.624,21,0,74,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
3032,0.92,5,1,25,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
3033,0.92,11,1,113,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
3034,0.55,5,1,74,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
3036,0.767,10,2,308,0.0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
3037,0.754,19,4,72,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3038,0.92,7,2,22,0.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
3039,0.92,7,1,35,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3040,0.926,9,1,184,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3042,0.893,21,2,19,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
3044,0.55,6,1,91,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
3045,0.91,11,4,46,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3046,0.92,11,2,54,0.0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
3048,0.682,21,5,24,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
3050,0.722,21,5,70,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3051,0.698,5,1,21,0.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
3052,0.92,9,3,52,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
3053,0.847,9,5,29,0.0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
3054,0.624,6,1,92,1.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
3055,0.92,17,5,88,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3057,0.897,13,1,51,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
3058,0.92,21,5,16,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3059,0.92,6,2,34,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3060,0.855,10,1,48,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
3065,0.624,15,0,30,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
3066,0.91,17,5,34,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3069,0.92,16,1,113,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
3070,0.91,11,4,196,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3071,0.92,21,4,75,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
3072,0.926,10,2,58,0.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
3073,0.887,3,0,54,0.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
3077,0.92,3,1,77,1.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
3078,0.897,7,5,50,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
3079,0.92,6,2,29,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3081,0.926,21,5,33,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3083,0.939,14,5,39,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3085,0.624,15,2,112,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
3087,0.91,11,5,52,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3088,0.855,21,5,70,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3089,0.91,16,5,30,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3090,0.91,8,1,52,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
3093,0.92,5,1,58,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
3095,0.92,21,1,9,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
3096,0.68,10,2,32,0.0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
3097,0.91,4,1,184,0.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
3098,0.897,14,0,4,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
3099,0.8270000000000001,16,5,298,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
3100,0.939,21,5,57,0.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
3101,0.55,9,5,14,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3102,0.763,2,0,55,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3103,0.926,14,1,46,0.0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
3104,0.92,7,1,43,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3105,0.92,21,5,61,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3106,0.92,21,2,26,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3107,0.92,7,2,37,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3108,0.92,4,1,60,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
3109,0.698,9,5,96,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
3110,0.855,9,2,53,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
3112,0.804,21,0,242,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
3113,0.92,5,1,102,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3114,0.897,6,1,18,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
3115,0.5579999999999999,6,1,50,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
3117,0.926,21,3,28,0.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
3118,0.624,2,1,11,1.0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
3119,0.92,7,4,33,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
3120,0.91,21,2,70,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3121,0.926,21,2,51,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
3123,0.698,7,3,8,0.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
3124,0.925,19,0,24,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3125,0.91,11,3,20,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3127,0.91,15,2,56,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3134,0.855,8,1,130,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
3135,0.92,9,3,108,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
3136,0.897,5,1,21,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3138,0.92,17,1,81,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
